3 ,G+: gore,B+: gores,G+: campaign,G+: al,G+: lieberman,B+: bush,G+: president,G+: running,G+: senator,B+: vice
6 ,B+: bush,B+: page,G+: george,G+: front,G+: bushwick,G+: president,G+: al,G+: oct,G+: people,G+: re
10 ,G+: gorey,G+: gore,G+: column,G+: al,B+: university,G+: goreys,G+: thomas,B+: friedman,G+: george,G+: musical
11 ,B+: bush,G+: president,G+: george,B+: former,G+: gov,B+: vice,G+: gore,G+: governor,G+: texas,G+: clinton
12 ,B+: bush,G+: cheney,B+: bushs,G+: george,G+: texas,G+: company,G+: friends,G+: governor,G+: cheneys,G+: bushes
14 ,G+: gore,G+: environmental,B+: bush,B+: lawyers,G+: al,G+: lieberman,G+: george,G+: trial,G+: trade,G+: list
15 ,G+: gore,G+: president,B+: vice,B+: gores,G+: house,G+: white,B+: fundraising,G+: al,G+: temple,B+: event
17 ,G+: president,G+: health,G+: al,G+: gore,B+: vice,G+: children,B+: care,G+: george,B+: bush,G+: texas
19 ,B+: bush,G+: texas,G+: george,G+: death,G+: gov,G+: penalty,G+: execution,G+: gore,G+: governor,G+: president
25 ,G+: gore,B+: bush,G+: president,B+: vice,G+: debate,G+: governor,B+: gores,B+: bushs,G+: people,G+: texas
