0 ,B+: bush,G+: president,G+: gore,B+: military,B+: vice,B+: lehrer,G+: governor,G+: debate,G+: al,G+: george
2 ,G+: gore,G+: president,G+: al,B+: bush,B+: vice,G+: george,G+: trade,G+: union,G+: rights,G+: gov
3 ,B+: bush,B+: bushs,G+: george,G+: governor,G+: president,G+: people,G+: campaign,G+: texas,B+: father,G+: family
5 ,B+: tax,G+: gore,B+: bush,G+: security,G+: social,B+: cut,B+: plan,B+: bushs,B+: cuts,G+: president
7 ,G+: gore,B+: bush,G+: campaign,G+: president,B+: vice,G+: al,G+: george,B+: gores,G+: nader,G+: vote
11 ,B+: bush,G+: george,B+: baseball,G+: texas,G+: debate,B+: rangers,G+: president,B+: networks,B+: bushs,B+: million
13 ,G+: gore,B+: senate,G+: lieberman,G+: al,G+: president,G+: christopher,G+: senator,B+: vice,G+: democratic,G+: list
