2 ,B+: oil,B+: bush,G+: gore,G+: gun,G+: prices,B+: industry,G+: energy,G+: president,G+: george,G+: al
3 ,G+: gore,G+: lieberman,G+: al,G+: president,B+: vice,G+: senator,B+: gores,G+: running,B+: mate,G+: democratic
5 ,B+: bush,G+: gore,G+: president,G+: campaign,G+: debate,B+: vice,B+: debates,G+: al,G+: george,B+: bushs
6 ,G+: gore,B+: bush,G+: campaign,G+: president,B+: gores,G+: voters,B+: vice,G+: al,G+: democratic,G+: clinton
7 ,B+: bush,G+: texas,B+: bushs,G+: george,G+: gore,G+: campaign,B+: time,B+: father,G+: people,G+: family
